username,password,friends,,,posts,,
arthurhermione,12345678,malfoygilderoy,filchvernon,kreacherparvati,pansy parkinson: started a fashion line inspired by death eater masks. it's all the rage in slytherin. #darkmarkcouture,fred and george weasley - opening a new joke shop in diagon alley! weasley's wizard wheezes - pranks for all occasions! #mischiefmanaged,ron weasley: accidentally turned my pet rat into a cup. oops! #magicalmishaps #transfigurationtroubles
bartypetunia,98765432,siriustonks, , ,viktor krum: training for the next quidditch world cup. ready to catch the golden snitch! #seekerskills #durmstrang,@kreacher_theelf: kreacher is busy cleaning grimmauld place. master black would be proud! #houseelfduty #kreacherthehouseelf,rita skeeter - latest scoop: harry potter seen in hogsmeade with a mysterious creature. exclusive details in the daily prophet! #gossipqueen
bellatrixharry,12345678,vernonlupin,malfoysirius,fredneville,hagrid - new magical creatures in care of magical creatures class today! buckbeak says hi. #creaturecomforts,@fredandgeorge: who needs a love potion when you've got our latest product heartbreaker jellybeans? grab a pack and wreak havoc! #prankstersunleashed #fredandgeorge,harry potter: just defeated another dark wizard. nbd. #aurorlife #nomuggleswereharmed
bellatrixsirius,98765432,georgeharry,dumbledorekarkaroff,dudleysnape,fred weasley: just pranked snape with some extendable ears. never gets old! #weasleywizardwheezes #maraudersmap,professor snape: brewed a perfect potion today. expect nothing less. #potionsmaster #halfbloodprince,dobby - dobby is a free elf! no more serving the malfoys. what's next for dobby? #freeelf
cedricarthur,12345678,malfoygilderoy,filchpetunia,fleurron,professor snape: brewed a perfect potion today. expect nothing less. #potionsmaster #halfbloodprince,peeves - causing chaos in the great hall again! who needs order anyway? #peevespranks,fred weasley: just pranked snape with some extendable ears. never gets old! #weasleywizardwheezes #maraudersmap
cedricbarty,98765432,naginilockhart,siriusmyrtle,cedricdraco,@lunalovegood: just spotted a crumple-horned snorkack on my way to class. they're real you know. #lunalogic #believeinmagic,@kreacher_theelf: kreacher is busy cleaning grimmauld place. master black would be proud! #houseelfduty #kreacherthehouseelf,draco malfoy - just got a nimbus 2001. father says it's the best broomstick in the wizarding world. jealous much potter? #purebloodperks
cedricdraco,12345678,cedricarthur,lupinlavender, ,hagrid: just adopted a new blast-ended skrewt. anyone have tips on creature care? #magicalmenagerie #hagridshut,hagrid: just adopted a new blast-ended skrewt. anyone have tips on creature care? #magicalmenagerie #hagridshut,@moaningmyrtle: ugh another day haunting the bathroom. can't a ghost catch a break? #moaningmyrtle #ghostproblems
cedricvernon,98765432,fredneville,siriuslockhart,malfoygilderoy,cedric diggory - training hard for the triwizard tournament. it's not just about winning; it's about doing your best! #triwizardprep,professor mcgonagall - reminder to all students: transfiguration is not to be used on fellow classmates even if they annoy you. #transfigurationtroubles,hagrid - new magical creatures in care of magical creatures class today! buckbeak says hi. #creaturecomforts
dracobellatrix,12345678,siriuslockhart,hagridharry,arthurhermione,@dobby_theelf: dobby is a free elf! enjoying the freedom and maybe some socks. #freeelf #dobbyishappy,@hogwartsexp: all aboard the hogwarts express! next stop: magic and adventure. #backtohogwarts #trainride,nearly headless nick - celebrating 500 years of nearly headlessness! a milestone in the afterlife. #nearlyheadless500
dracokarkaroff,98765432,naginilockhart,malfoyvoldemort, ,sirius black: just escaped azkaban. again. #prisonernomore #padfoot,@magicalmenagerie: just got a new delivery of magical creatures! from pygmy puffs to blast-ended skrewts we've got it all. #magicalmenagerie #creaturecraze,professor mcgonagall: another year at hogwarts and i've already turned into a cat twice. #animagusproblems #transfigurationteacher
